,Links to real estate
25,https://batdongsan.com.vn/ban-nha-rieng-duong-12-phuong-truong-thanh-1/ban-4-tang-so-hong-chinh-chu-pr42039268
26,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-7-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/-pho-140m2-ham-4-tang-vi-tri-cuc-dep-mau-dep-hien-dai-gia-28-ty-re-t-pr42157069
27,https://batdongsan.com.vn/ban-nha-rieng-duong-an-binh-phuong-6-8/ban-moi-khu-vip-tran-hung-dao-quan-5-duc-kien-co-5-tang-hem-6m-pr42731152
28,https://batdongsan.com.vn/ban-nha-rieng-duong-359-phuong-phuoc-long-b/chinh-chu-an-dep-hem-51-359-p-tp-thu-duc-pr42728369
29,https://batdongsan.com.vn/ban-nha-rieng-duong-lien-khu-4-5-phuong-binh-hung-hoa-b/ban-5-5m-x-18m-khong-lo-gioi-ngay-cho-4-5-quan-tan-pr42728828
30,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-huu-2-prj-the-classia/can-ban-gap-pho-khang-dien-san-so-san-khu-compound-an-ninh-24-7-pr42355320
31,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thi-xinh-phuong-thoi-an-1/-4m-x-22m-xay-1-lung-3-lau-tien-16m-ta21-pr42689369
32,https://batdongsan.com.vn/ban-nha-rieng-duong-385-phuong-tang-nhon-phu-a/gap-ban-ban-hxh-thong-kinh-doanh-ngay-mat-tien-385-le-van-viet-ngang-khung-pr42686081
33,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-cat-loi-thi-tran-nha-be/chinh-chu-gui-phi-2-nho-ace-ban-giup-can-nay-pr42571035
34,https://batdongsan.com.vn/ban-dat-duong-pham-cong-tru-phuong-thanh-my-loi/chuyen-nhuong-lo-114m-mat-tien-nguyen-khu-1-quan-2-pr42528704
35,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-binh-khiem-phuong-1-21/sieu-pham-tien-gia-hem-p1-go-vap-cn-158m2-co-thang-may-5-tang-chi-30-ty-pr42722069
36,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-thinh-phuong-cat-lai/-dep-de-o-xe-hoi-dau-trong-ra-chi-50m-chu-thiet-ke-dep-tam-huyet-pr42706095
37,https://batdongsan.com.vn/ban-dat-duong-dao-cu-thi-tran-can-thanh/ban-tho-trung-tam-gan-ben-xe-o-to-rong-so-hong-rieng-pr42652125
38,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-duong-vuong-phuong-an-lac-6-prj-the-privia/chinh-chu-ban-2pn-1-2wc-khang-dien-gia-3-75ty-lh-bao-xem-nha-pr42721606
39,https://batdongsan.com.vn/ban-nha-rieng-duong-so-9-phuong-16-3/ban-mat-pho-5-5-ty-85m2-tai-16-go-vap-hcm-dep-nhieu-tien-ich-pr42718630
40,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-12b-phuong-3/ban-cc-2pn-1wc-tai-3-quan-4-tp-hcm-3-45-ty-86m2-pr42617644
41,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-son-ky/ban-hem-xe-hoi-4-cho-phu-ngay-dh-cong-nghe-49m2-dep-chi-4-55-ty-so-rieng-pr42716720
42,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-8-phuong-5-15/-cao-cap-khu-lap-p5-go-vap-pr42715609
43,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/-goc-2-png-ngu-cong-1-gia-chi-3ty750-ke-ben-vincom-c-dem-vinwonder-quang-truong-pr41622942
44,https://batdongsan.com.vn/ban-nha-rieng-duong-30-1-phuong-cat-lai/ban-chinh-chu-gan-trung-tam-tp-thu-duc-can-goc-co-ho-boi-phu-hop-de-o-lam-van-phong-pr42340307
45,https://batdongsan.com.vn/ban-nha-rieng-duong-7-phuong-thanh-my-loi/hot-chi-3-5-ty-co-1-tret-2-lau-7-tong-dt-90m2-ho-tro-ngan-hang-pr42649375
46,https://batdongsan.com.vn/ban-nha-mat-pho-duong-pham-the-hien-phuong-7-6-prj-khu-dan-cu-phu-loi/-tien-233m2-2-tien-no-hau-xay-dung-duoc-cao-tang-pr41763993
47,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-phuong-phu-thuan-3/-hien-dai-1-tret-2-lau-san-thuong-6m-quan-7-gia-chi-7-ty-950-pr42640683
48,https://batdongsan.com.vn/ban-nha-mat-pho-phuong-phu-my-9/sieu-pham-dep-xay-moi-100-co-thang-may-duong-so-nhua-10m-pr42042550
49,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ha-huy-tap-phuong-tan-phong-9-prj-khu-biet-thu-phu-gia/ban-don-lap-my-hung-san-vuon-rong-compound-an-ninh-pr42361929
50,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-ngoc-phuong_1-phuong-19/-co-san-rong-oto-dau-ngay-dem-khu-khep-kin-yen-tinh-cay-xanh-nhieu-gan-bo-ke-17-xty-pr42333361
51,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-huong-phuong-thao-dien-prj-river-garden/-3-png-ngu-150-m2-view-song-3-ban-cong-full-noi-that-cao-cap-pr42642432
52,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-cau-kho-prj-zenity/ban-duplex-162m2-view-bitexco-song-sai-gon-huong-dong-bac-mien-phi-ql-6-thang-pr38967612
53,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-thi-rieng-phuong-thoi-an-1/-pho-7-5m-x-15-5m-3-tang-hem-nhua-12m-khu-phu-nhuan-rieng-pr42499559
54,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/sieu-pham-chi-2-7-ty-so-huu-2pn2wc-59m2-da-co-so-ng-lien-he-036-298-1909-pr42701750
55,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-7-9/ban-nr-3pn-3wc-tai-q-binh-thanh-7-3-ty-44-1m2-gia-sieu-hoi-pr42700195
56,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-sao-nam-phuong-11-10/ban-can-goc-86m2-2-lau-hem-8m-6m-ngay-bau-cat-pr42094477
57,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-van-thanh-phuong-hiep-phu/-moi-4-tang-sieu-dep-147m2-gia-chi-15-5-ty-hem-nhua-8m-cach-50m-pr42698227
58,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-phuoc-phan-phuong-binh-tri-dong-prj-hoang-kim-the-gia-the-golden-dynasty/chinh-chu-65m2-so-hong-san-nha-moi-tt-950tr-o-ngay-pr42445888
59,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-82-phuong-thanh-my-loi/ban-villa-82-ngay-truong-van-bang-quan-2-hong-cc-sang-ten-pr42635349
60,https://batdongsan.com.vn/ban-nha-rieng-duong-so-6-phuong-binh-trung-tay/-gia-thap-t-khu-vuc-chinh-chu-ban-p-quan-2-chi-55tr-m2-pr42618701
61,https://batdongsan.com.vn/ban-dat-duong-phan-anh-phuong-binh-tri-dong/-hem-cach-nga-4-to-hieu-10-buoc-chan-pr42282176
62,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-huong-phuong-thao-dien-prj-river-garden/-3-png-ngu-nha-moi-dep-day-du-noi-that-pr42557004
63,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-phuc-chu-phuong-15-8/ban-rieng-gia-7-5-ty-vnd-tai-tan-binh-ho-chi-minh-pr41240177
64,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-loc-15-phuong-thanh-loc-3/-sieu-dep-noi-that-cao-cap-khu-vip-15-nga-tu-ga-quan-12-pr42139041
65,https://batdongsan.com.vn/ban-dat-duong-vuon-lai-phuong-an-phu-dong-1/lo-dep-5x25-voi-gia-goc-chinh-chu-tai-g-song-sg-pr42012439
66,https://batdongsan.com.vn/ban-dat-duong-tu-xuong-phuong-hiep-phu-1/chinh-chu-ban-1-tp-thu-duc-pr42433989
67,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-hiep-binh-chanh/biet-thu-mini-100m2-ngang-9m-khu-ben-song-p-q-thu-duc-pr42691337
68,https://batdongsan.com.vn/ban-nha-rieng-duong-co-bac-phuong-cau-ong-lanh/ban-48-4-q1-hcm-5-2-ty-30-8m2-pr41910532
69,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-an-phu-tay-prj-hqc-plaza/-binh-chanh-52-m2-2pn-2wc-gia-chi-1-080-ty-pr42689392
70,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-quang-ham-phuong-5-15/-p5-dong-tien-max-100tr-chu-ngop-gap-ban-tet-pr41970161
71,https://batdongsan.com.vn/ban-dat-duong-20-5-phuong-linh-dong/-hxh-p-dt-66-2m2-so-vuong-vuc-hem-oto-5m-thong-cach-pham-van-500m-pr42687143
72,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-sa-phuong-11-1/ban-hxh-1087-12-p-11-quan-3-dt-5-26-x-15-cn-72-5m2-gia-ban-11-8-ty-pr42686205
73,https://batdongsan.com.vn/ban-dat-duong-nguyen-tuyen-phuong-binh-trung-tay/ban-tho-cu-hem-92-6-p-quan-2-gia-17-ty-mqc-pr42686123
74,https://batdongsan.com.vn/ban-dat-xa-tam-thon-hiep/hot-10-000m2-vuong-vuc-50x200-chi-25t-pr42684998
75,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-38-phuong-4/ban-tai-38-quan-4-dt-31-4m2-hang-hiem-kinh-doanh-gia-5-99-ty-pr42684641
76,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-12-8/ban-5-tang-dt-san-khung-200m2-chi-6-95-ty-hem-nhua-6m-p12-go-vap-pr42683768
77,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-huu-2-prj-safira-khang-dien/ban-cc-3pn-2wc-4-5-ty-91-2m2-tai-q9-gia-uu-dai-hang-hiem-lh-pr42354420
78,https://batdongsan.com.vn/ban-dat-duong-bung-ong-thoan-phuong-phu-huu-2/ban-hang-dep-99-8m2-5x20m-hem-th-1-tpthu-duc-gia-6-2-ty-lh-pr42609446
79,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-huu-2-prj-the-classia/can-ban-gap-pho-goc-san-vuon-khang-dien-san-so-san-khu-compound-an-ninh-pr42362104
80,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ly-te-xuyen-phuong-linh-dong/-3-tang-tien-d-p-dt-105m2-ngang-5m-hoan-cong-day-du-phap-chuan-pr42676503
81,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-2pn-thap-5-moi-nhat-nha-dep-view-xin-sinh-loi-ngay-22trieu-moi-thang-pr41606525
82,https://batdongsan.com.vn/ban-nha-mat-pho-duong-go-dua-phuong-tam-binh/ban-tien-dien-tich-1380m-thu-p-hon-100-trieu-thang-pr42582799
83,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-tan-thanh-dong/ban-gan-cho-chieu-15-5-23m-co-50m2-tho-cu-gia-880-trieu-thuong-luong-pr42672741
84,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/giam-600-eu-con-6-2ty-dep-hxh-f11-bt-5m-dai-10m-cn-46-1m2-hien-trang-50m2-pr42422383
85,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-pho-quang-phuong-2-22/ban-tai-p-2-tan-binh-hcm-33-ty-172m2-gia-cuc-chat-pr42478115
86,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-hiep-binh-chanh/chu-ket-tien-can-ban-gap-3-tang-200m2-gia-16-5-ty-cach-gigamail-pham-van-dong-chi-500m-pr41361847
87,https://batdongsan.com.vn/ban-dat-duong-pho-quang-phuong-2-22/chinh-chu-can-ban-nhanh-vi-tri-dep-2-tan-binh-tp-hcm-pr42666195
88,https://batdongsan.com.vn/ban-dat-duong-ly-thi-chung-xa-phu-hoa-dong/chinh-chu-can-ban-lo-2mt-103m2-ngang-6m-nhua-9m-gan-cho-chi-tu-1-35ty-pr42664159
89,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-17-4-phuong-tan-phu-19-prj-nam-phuc-le-jardin/ban-ch-pmh-quan-7-124m2-lau-9-view-cong-vien-hoan-thien-noi-that-nha-trong-pr42658674
90,https://batdongsan.com.vn/ban-dat-duong-hung-nhon-xa-tan-kien/ban-gap-mat-tien-binh-chanh-gia-thoa-thuan-lh-chinh-chu-pr37082246
91,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/co-so-view-dep-gia-tot-nhat-du-an-ban-2pn-chi-3-3-ty-bao-thue-phi-pr42649626
92,https://batdongsan.com.vn/ban-dat-duong-hoang-phan-thai-xa-binh-chanh-3/chinh-chu-can-ban-2-lo-lien-ke-mat-tien-dien-tich-300-6-m2-pr42624110
93,https://batdongsan.com.vn/ban-dat-duong-nhi-binh-2-xa-nhi-binh/chinh-chu-ban-mat-tien-2-pr42291217
94,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-tan-hung-thuan-1/-chu-ban-moi-dep-1-sec-238-3-quan-12-3-phong-ngu-gia-3-79-ty-pr42530787
95,https://batdongsan.com.vn/ban-dat-duong-xa-lo-ha-noi-phuong-thao-dien/khuon-da-co-gpxd-2-m-18-tang-mt-p-to-q2-25x56m-cn-1420m2-gia-650-ty-pr42375876
96,https://batdongsan.com.vn/ban-dat-duong-quoc-huong-phuong-thao-dien/giam-gia-ban-gap-lo-goc-2mt-q2-dt-368m2-12x30-5m-gpxd-ham-7-tang-chi-78-ty-pr41392594
97,https://batdongsan.com.vn/ban-dat-duong-ngo-chi-quoc-phuong-binh-chieu/lo-nen-2-mat-tien-sat-eu-thu-duc-55-3m2-pr42288832
98,https://batdongsan.com.vn/ban-dat-duong-lo-lu-phuong-truong-thanh/ban-tai-quan-9-ho-chi-minh-3-5-ty-55-2-m2-pr42637120
99,https://batdongsan.com.vn/ban-nha-rieng-duong-so-9-phuong-linh-trung/chu-ngop-ban-gap-sieu-dep-4-tang-4pn4wc-full-ntcc-khu-dong-bo-gan-hoang-dieu-2-p-trung-pr42534989
100,https://batdongsan.com.vn/ban-dat-duong-so-4-phuong-truong-tho-2/ban-tai-4-thu-duc-hcm-17-ty-284-8m2-hem-6m-gan-metro-vanh-dai-2-pr42366477
101,https://batdongsan.com.vn/ban-dat-duong-so-10-phuong-linh-trung/keo-thom-he-4-xay-chdv-chuan-bai-374m2-12x30-hem-thong-xe-hoi-10-trung-pr42569403
102,https://batdongsan.com.vn/ban-dat-duong-duong-van-cam-phuong-linh-tay/nhinh-50tr-m2-sieu-dep-422-5m2-20x22-he-so-4-2-xay-chdv-bao-chuan-10m-ngay-cho-thu-duc-pr42723718
103,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/se-khong-that-vong-voi-pho-hien-dai-full-noi-that-xin-gia-9-9-ty-5x22m-pr42094307
104,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/se-khong-that-vong-sieu-pham-luxury-co-dien-sang-trong-gia-9-2-ty-6x13-5m-pr41524321
105,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be-prj-khu-dan-cu-sai-gon-moi/ngat-ngay-voi-sieu-pham-hien-dai-xe-hoi-gia-6-6-ty-5x11m-pr42346033
106,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-huu-lau-phuong-phu-my-9/-pho-cuc-dep-va-rong-day-du-noi-that-sang-trong-quan-7-gia-8-9-ty-8x14m-pr41851869
107,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-phuong-phu-thuan-3/co-hoi-so-huu-pho-hien-dai-sang-trong-day-du-tien-nghi-gia-7-5-ty-5x18m-pr40883158
108,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-quoc-viet-phuong-phu-thuan-3/hay-la-nguoi-dau-tien-so-huu-co-dien-sang-trong-quan-7-canh-my-hung-gia-17-5-ty-5x18m-pr42715400
109,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-14-5/-hem-vip-506-3-2-quan-10-dt-6x12m-tret-3-lau-st-gia-15-5-ty-tl-pr41506827
110,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-tuyen-phuong-binh-trung-tay/qua-dep-ban-moi-xay-mt-ngay-b-dt-74m2-gia-chi-9-ty-tl-pr42070385
111,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khac-chan-phuong-9-12/-hiem-ban-gap-dt-khung-92m2-mt4-3m-chi-nhinh-7-ty-nga-4-phu-nhuan-pr42273247
112,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vo-thi-sau-phuong-vo-thi-sau/ban-chia-tai-san-mt-q-3-15x40m-cn-468-3m-ham-7-tang-hdt-400tr-th-gia-dau-tu-65-ty-pr40784452
113,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-huu-2-prj-safira-khang-dien/ban-2pn2wc-90-3m2-view-song-huong-dong-nam-gia-ban-4-750-ty-tro-vay-pr42612978
114,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huong-lo-2-phuong-binh-tri-dong-a-prj-saigonhomes/chinh-chu-ban-1pn-48m2-saigonmes-tan-nha-moi-dep-vao-o-ngay-pr42401489
115,https://batdongsan.com.vn/ban-nha-mat-pho-duong-to-hien-thanh-phuong-15-3/chu-ve-gia-28-ty-ban-nh-mt-q10-dt-4-3x22m-co-thang-may-6-tang-thoang-mat-pr42331572
116,https://batdongsan.com.vn/ban-dat-pho-ba-trieu-thi-tran-hoc-mon/ban-o-4-15-19m-no-hau-doi-dien-benh-vien-tt-pr40482097
117,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-thai-phuong-14-5/sieu-pham-moi-ra-ngang-lon-7m-hon-q-10-gia-chi-nhinh-23ty-tl-hxh-sieu-vip-8m-pr42402141
118,https://batdongsan.com.vn/ban-nha-rieng-duong-go-dau-phuong-tan-quy-2/hxh-dep-o-ngay-4x18m-chu-gap-ban-trong-tuan-nen-ha-sau-1ty-duc-btct-pr42544195
119,https://batdongsan.com.vn/ban-nha-rieng-duong-luy-ban-bich-phuong-tan-thanh/hem-8m-3tang-4pn-moi-tinh-nhu-hinh-4x15-5m-vuong-det-chu-gap-pr42544687
120,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thi-minh-khai-phuong-5-8/-306-8x12m-hdt-68tr-th-gia-ban-26-5-ty-vi-tri-dep-ngay-mat-tien-pr42458840
121,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-binh-hung-1-prj-khu-dan-cu-him-lam-6a/-mat-tien-noi-bo-5-x-20-1-tret-3-lau-vip-hang-xom-truong-quoc-te-pr42615193
122,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-tuan-khai-phuong-5-9/-tien-quan-5-dt-4x19m-5-tang-vi-tri-dep-ngay-hung-dao-26-ty-pr42481372
123,https://batdongsan.com.vn/ban-nha-rieng-duong-luy-ban-bich-phuong-hoa-thanh/minh-dep-gia-re-oto-q-tan-phu-chi-7-9-ty-alo-pr42689750
124,https://batdongsan.com.vn/ban-nha-mat-pho-duong-co-bac-phuong-cau-ong-lanh/-tien-q1-ngay-de-tham-5-2x18m-4-lau-hdt-95tr-th-gia-35-ty-tl-pr42556217
125,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-12-5/-6x18m-3-lau-san-thuong-hxh-436a-3-2-cu-xa-nguyen-trung-truc-quan-10-gia-23-9-ty-tl-pr42074469
126,https://batdongsan.com.vn/ban-nha-mat-pho-pho-ly-thuong-kiet-phuong-14-5/-tien-4-9x20m-tret-2-lau-st-vi-tri-dep-ngay-cc-xi-grandcourt-gia-27-8-ty-pr42482225
127,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trai-phuong-ben-thanh/ban-150-4-3x22m-4-tang-ngay-quan-1-gia-24-5-ty-tl-pr42361891
128,https://batdongsan.com.vn/ban-nha-rieng-duong-su-van-hanh-phuong-12-5/ban-4-8x18m-3-lau-san-thuong-hem-rong-10m-quan-10-khu-vuc-dep-gia-17-8-ty-tl-pr41717421
129,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-1-21/moi-dep-2tang-50m2-3pn-chi-5-2ty-p1-go-vap-thuong-luong-nhe-pr42372072
130,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-the-rainbow-vinhomes-grand-park/ban-vinmes-studio-co-so-full-noi-that-gia-chi-1ty450-cong-ngay-pr40278463
131,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-the-beverly-solari-vinhomes-grand-park/sieu-hoi-2-phong-ngu-61m2-gia-2-7-ty-toan-15-nhan-nha-den-2026-dong-tiep-pr39920178
132,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-thai-phuong-14-5/ban-hxh-dt-8x12-3-4-tang-dep-hop-dong-thue-70tr-thang-gia-17-5-ty-con-tl-pr40869280
133,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lien-phuong-phuong-phu-huu-2-prj-verosa-park-khang-dien/nhan-mua-ban-ky-goi-du-an-chinh-chu-ban-lo-can-6x17-view-cong-vien-trung-tam-pr29072192
134,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-14-5/hdt-khoan-45tr-thang-hem-8m-so-506-3-2-dt-6x12m-ket-cau-5-tang-gia-15-ty-tl-pr42074356
135,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/tang-noi-that-cao-cap-ban-binh-thanh-hxh-d-p11-moi-dep-6-tang-5-3x11m-pr42691564
136,https://batdongsan.com.vn/ban-nha-rieng-duong-cao-thang-phuong-12-5/-hem-o-to-6-3mx16m-q10-tret-4-lau-gia-ban-chi-16-8-ty-dang-cho-thue-60tr-pr42563184
